기준년도,기준월,행정동_코드,행정동_코드_명,소득_총금액,소득_구간_코드,지출_총금액,식료품_지출_총금액,의류_신발_지출_총금액,생활용품_지출_총금액,의료비_지출_총금액,교통_지출_총금액,교육_지출_총금액,유흥_지출_총금액,여가_문화_지출_총금액,기타_지출_총금액,음식_지출_총금액
2018,10,11380530,불광2동,2488399,6,1142366667,398633000,18622333,20794667,153700333,129104667,35474333,20813333,68233000,41198000,255793000
2018,10,11380520,불광1동,3416366,7,1749276333,309735667,49627667,174509667,364699667,289333,88811667,76307000,165616667,112930000,406749000
2018,10,11350630,상계1동,3165629,7,2137421000,634735333,31794667,55720667,155140333,98536667,78757333,80557000,99271333,94368000,808539667
2018,10,11470611,신월7동,2417234,5,623583333,274789333,8830333,24120667,33888000,16581000,40961000,28702000,38100667,26525333,131085000
2018,10,11350570,월계2동,2833342,6,381338667,114768333,2741333,1423000,36693667,223333,121496667,10134333,18964333,13890000,61003667
2018,10,11305660,인수동,2430151,5,708809333,251411333,28766333,8398667,80770667,46672667,17901333,23831333,29147000,14211333,207698667
2018,10,11290715,월곡1동,3407760,7,772708333,205429667,9748000,89911667,98905333,115604667,45766333,15422667,26551667,27398000,137970333
2018,10,11200690,성수2가3동,3485931,7,3015456667,441109667,230226333,49978333,257746000,322042333,597016333,89673000,155176000,129732667,742756000
2018,10,11170685,한남동,4486684,8,3214783667,390791667,266478667,15680333,181393333,149875333,64180333,180718667,460831000,156348667,1348485667
2018,10,11170640,이촌2동,3685361,7,470234000,45215333,6050000,0,3857333,399477333,4585667,0,886000,292333,9870000
2018,10,11140665,동화동,3706487,7,498712000,163997333,20093667,85270667,55739000,3233667,13886333,9094000,26305000,17666333,103426000
2018,10,11140650,신당5동,3147736,7,495680000,73814667,5882667,9693333,44956667,58374333,3242333,28373333,67508000,9806333,194028333
2018,10,11140580,장충동,3075802,7,466032000,63512667,19987333,7554000,25025000,56654000,2036667,5821333,47559000,8646667,229235333
2018,10,11110690,창신3동,3115447,7,61179000,22912667,1909667,2755000,4523667,178333,3915667,3533667,4030000,1168333,16252000
2018,10,11110570,무악동,5124784,9,528662000,38238000,663333,636333,413263333,457333,23378000,551333,5194667,11392000,34887667
2018,10,11320521,도봉1동,2375758,5,1126620000,262067667,5134000,10242333,67635000,248894667,16297333,34976000,145039667,12239000,324094333
2018,10,11500530,등촌2동,3501832,7,763327000,109191333,209458000,12127000,39047667,108940333,17643000,26032000,25668667,33679667,181539333
2018,10,11530520,구로1동,3532583,7,721647667,145333667,3140000,5568667,22497667,346756667,39724000,17970000,25045667,31164667,84446667
2018,10,11530540,구로3동,3030836,7,156586506667,587560333,108630000,87622667,757856667,1023403667,119685000,338680667,151786503000,213203333,1563361333
2018,10,11740580,암사2동,3864787,8,810787333,114491667,12853000,2686667,110801333,124797333,67758667,14136667,53841000,22190000,287231000
2018,10,11740600,천호1동,2598378,6,782261667,153851667,39198000,19196000,128601667,17498333,56970000,23344333,116475000,25468333,201658333
